wage,educ,exper,tenure,nonwhite,female,married,numdep,smsa,northcen,south,west,construc,ndurman,trcommpu,trade,services,profserv,profocc,clerocc,servocc
3.1,11,2,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
3.2,12,22,2,0,1,1,3,1,0,0,1,0,0,0,0,1,0,0,0,1
3,11,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
6,8,44,28,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
5.3,12,7,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
8.8,16,9,8,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0
11,18,15,7,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
5,12,5,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3.6,12,26,4,0,1,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0
18,17,22,21,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
6.3,16,8,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
8.1,13,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
8.8,12,15,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0
5.5,12,18,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
22,12,31,15,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0
17,16,14,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
7.5,12,10,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
11,13,16,10,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
3.6,12,13,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0
4.5,12,36,6,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
6.9,12,11,4,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
8.5,12,29,13,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0
6.3,16,9,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0.53,12,3,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
6,11,37,8,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
9.6,16,3,3,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0
7.8,16,11,10,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
13,16,31,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
13,15,30,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0
3.3,8,9,1,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0
13,14,23,5,0,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0
4.5,14,2,5,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0
9.7,13,16,16,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
5,12,7,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
4.7,12,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
4.3,16,22,4,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
6.2,12,15,6,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1
3.5,4,39,15,0,0,1,5,1,0,0,1,0,0,0,1,0,0,0,0,0
3,14,3,3,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
6.3,12,11,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
7.8,12,3,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
10,12,20,5,1,1,1,4,1,0,0,1,0,0,0,0,0,1,0,1,0
4.5,14,16,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0
4,11,45,12,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
6.4,13,11,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
14,15,20,13,0,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0
1.7,10,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
2.9,12,36,2,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
3.7,14,9,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
2.9,12,15,1,0,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1
1.6,12,18,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1
8.6,16,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
5,12,15,5,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
6,12,7,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.5,12,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3,15,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3.4,16,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
10,8,13,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
22,18,8,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
4.4,16,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
12,13,40,20,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
12,14,42,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
6.3,10,36,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
3.7,10,13,0,1,1,0,4,1,0,0,0,0,0,0,0,0,1,0,1,0
7.8,14,9,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
20,14,26,23,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0
6.3,16,7,4,1,1,1,3,1,0,0,0,0,0,0,0,0,1,1,0,0
10,12,25,3,0,0,1,3,1,0,0,0,0,0,0,0,0,1,1,0,0
5.7,16,10,5,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
2,12,3,2,0,1,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0
5.7,16,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
13,17,17,2,1,0,1,3,1,0,0,0,0,0,0,0,0,1,1,0,0
4.9,12,17,8,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2.9,12,20,34,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0
3.8,12,7,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
12,13,24,19,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0
4,12,28,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
3.1,12,2,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
8.4,12,19,13,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
7.1,18,13,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0
4.5,9,22,5,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
4.7,16,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2.9,10,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
6.7,12,7,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3.5,12,6,2,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
3.3,12,13,3,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
3.3,12,14,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
8,12,14,4,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
9.9,8,40,24,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
7.5,12,11,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5.9,12,14,6,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
12,14,40,39,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
3,12,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0
4.8,12,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
6.5,12,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
4,9,19,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
3.5,13,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
13,12,34,22,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
4.3,14,5,2,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
3.5,12,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
5.1,15,6,6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
3.8,12,14,0,0,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,1
4.5,12,35,12,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
7.6,12,8,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
15,14,7,7,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6.8,15,11,3,0,1,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0
13,12,14,11,0,0,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0
6.7,12,35,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.5,12,46,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
9.8,17,7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
3.4,11,45,12,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
25,18,29,25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5.4,12,6,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6.1,14,15,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0
4.2,14,33,16,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
3.8,10,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3.5,14,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
3.6,12,7,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
3.8,15,6,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
3,8,33,12,0,1,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0
5,16,2,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
4.6,14,4,0,0,1,1,2,1,0,1,0,0,0,0,0,0,1,0,0,1
3,15,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
3.2,12,29,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
3.9,18,17,3,0,0,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0
6.4,16,17,3,0,1,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0
5.5,10,36,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1.5,8,31,30,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2.9,10,23,2,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1
5,11,13,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
8.9,18,3,3,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
5,15,15,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
3.5,12,48,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2.9,11,6,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
4.5,12,12,0,0,0,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0
2.3,12,5,0,0,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,1
5,14,19,5,0,0,1,4,1,0,1,0,0,0,0,1,0,0,0,0,0
10,16,9,3,1,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0
3.8,2,39,13,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
10,14,28,11,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
11,16,23,20,0,0,1,4,1,0,1,0,0,1,0,0,0,0,1,0,0
7.9,12,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
4.7,12,15,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
5.8,13,5,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0
3.8,12,18,2,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0
3.2,15,2,2,0,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0
2,10,3,0,1,1,0,5,1,0,1,0,0,0,0,1,0,0,0,0,1
4.5,12,31,4,0,1,1,3,1,0,1,0,0,0,0,0,0,1,0,1,0
12,16,20,5,0,1,1,3,1,0,1,0,1,0,0,0,0,0,0,1,0
2.1,13,34,15,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2.4,9,5,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1
3.8,12,11,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
5.5,13,31,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
6.5,12,8,5,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3.1,12,2,2,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
10,14,18,5,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0
6.6,16,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
10,16,3,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
2.3,9,4,1,0,1,0,5,0,1,0,0,0,0,0,1,0,0,0,0,1
6.9,18,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2.8,10,1,0,0,0,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0
3.1,10,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0
8,13,28,5,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0
4.5,12,47,4,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0
8.6,18,13,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
2,13,2,6,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
4.8,12,48,2,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
6.3,13,6,5,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0
6,13,8,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,1
15,13,25,21,0,0,1,2,1,1,0,0,0,0,0,0,0,1,1,0,0
15,18,13,7,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
13,12,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5.3,12,19,10,0,1,1,2,1,1,0,0,0,0,1,0,0,0,0,1,0
2.2,13,1,4,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1
7.1,12,43,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6.2,12,19,9,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0
9,12,11,5,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
10,14,43,4,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
5.8,10,44,3,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
4,12,22,11,0,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0
8.8,16,3,2,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
6.5,16,3,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
7.6,12,41,11,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
5,14,5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
5,12,14,11,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
22,12,24,16,0,0,1,3,1,1,0,0,0,0,0,1,0,0,1,0,0
8.6,12,28,8,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
3.3,12,25,8,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
4.4,12,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
4.6,12,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.5,12,7,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.3,16,9,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0
3.8,16,5,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
6.2,14,9,3,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2.9,11,1,0,0,1,0,3,1,1,0,0,0,0,0,0,1,0,1,0,0
6.3,16,2,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
6.3,12,13,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
9.1,12,10,2,0,0,1,3,1,1,0,0,1,0,0,0,0,0,1,0,0
10,17,5,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
11,12,30,8,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
6.9,12,31,19,0,0,1,3,1,1,0,0,0,0,0,0,0,1,0,0,1
8.8,16,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
10,8,9,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
3,12,10,0,0,1,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0
3,12,38,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
5.8,12,19,6,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0
4.1,16,5,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
8,12,26,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
6.2,12,35,12,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
2.7,9,2,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
2.8,13,1,2,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1
3,16,19,10,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0
3,14,3,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
7.4,8,36,24,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0
7.5,14,29,24,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
3.5,13,1,2,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0
8.1,12,38,3,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0
3.8,18,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
3.3,9,29,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
5.8,8,36,15,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3.5,8,4,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1
3.3,12,45,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,14,22,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
3.5,12,20,4,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0
6.3,16,5,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
3,8,15,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
5.7,13,10,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
3,9,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
23,16,16,7,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0
9,12,38,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
8.3,15,33,26,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
3,11,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5.8,14,6,5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
6.8,12,19,3,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0
10,12,29,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0
3,12,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3.5,18,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
3.3,12,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,12,10,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
2.9,12,4,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
3.1,12,14,10,1,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0
3.2,12,15,5,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0
4.8,12,19,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0
3,14,17,0,0,1,1,4,1,0,1,0,0,0,0,0,1,0,0,1,0
18,16,29,7,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0
3.5,12,2,0,0,1,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0
4.1,14,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2,11,38,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4.3,12,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
3,10,47,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
6.4,12,7,6,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5.2,6,47,13,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
4.5,13,23,2,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
3.9,12,12,3,0,0,1,3,1,0,1,0,0,0,0,1,0,0,0,1,0
3.5,10,11,0,0,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,1
11,12,25,23,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
4.1,14,6,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
3,13,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
5.9,12,14,7,1,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0
18,18,13,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
4,12,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
