wage,educ,exper,tenure,nonwhite,female,married,numdep,smsa,northcen,south,west,construc,ndurman,trcommpu,trade,services,profserv,profocc,clerocc,servocc
3,12,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
3.5,12,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,11,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1
8.8,12,47,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.9,8,49,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6.3,13,37,17,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
3.5,13,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
4.6,14,7,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
6,12,22,8,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0
2.9,10,8,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5.6,16,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
4,12,43,6,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,16,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4.5,12,2,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
2.9,14,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
4.3,18,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
19,17,26,20,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0
4.3,13,1,1,0,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0
4.6,14,37,7,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
6.3,15,12,4,0,1,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0
3,14,41,23,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
8.8,12,24,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
8.5,8,38,26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3.8,12,18,0,0,1,1,4,1,1,0,0,0,0,0,0,0,1,0,1,0
3.2,12,26,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
5,8,45,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6.5,12,27,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
2,9,2,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1
4.8,12,41,8,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
5.8,16,11,4,0,0,1,2,1,1,0,0,0,1,0,0,0,0,1,0,0
3.2,12,5,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
4.7,16,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
4.1,12,3,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
2.9,12,4,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
6,13,21,13,0,0,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0
3.6,10,34,26,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4,6,49,6,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0
7,12,6,5,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
3,12,26,9,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
6.1,16,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
8.6,12,23,9,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
3,8,33,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3.8,12,5,2,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
2.9,6,49,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,4,48,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6.3,11,35,31,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
3.5,11,23,2,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0
3,7,26,1,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1
3.2,12,16,0,0,1,1,2,1,0,1,0,0,0,0,1,0,0,0,1,0
8,18,23,3,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0
3.3,12,36,8,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0
5.3,16,4,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
6.3,12,10,0,0,0,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0
3.5,14,18,2,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
3,12,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
3,10,7,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,1
4.7,10,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.7,9,33,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4,10,34,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,12,8,0,0,1,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0
2.9,12,17,1,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0
3,12,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
5.1,10,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
14,16,41,16,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
18,16,35,28,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
6.3,16,11,4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
5.3,12,4,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
4.8,12,12,3,0,1,1,3,1,1,0,0,0,0,0,0,0,1,1,0,0
3.3,7,35,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
3,8,33,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
8.4,16,8,6,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
5.7,16,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
12,18,8,10,0,0,1,2,1,0,1,0,0,0,1,0,0,0,1,0,0
3.5,13,29,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
4.2,10,14,5,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
7,16,26,3,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0
6,14,11,3,0,1,1,2,1,0,1,0,0,0,0,0,0,1,0,1,0
12,16,10,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
4.5,12,13,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
3,9,23,20,0,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0
2.9,11,1,2,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1
15,11,35,31,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4,12,5,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
5.3,11,13,11,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0
4,12,22,3,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0
3.3,12,21,9,0,1,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0
5.1,12,19,0,0,1,1,3,0,0,1,0,0,0,0,0,0,1,0,1,0
3.6,12,13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
5,14,15,5,0,0,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0
4.6,14,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
13,18,6,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
3.5,12,6,5,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
4.6,12,16,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
10,12,31,2,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
2.9,11,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
4.5,12,5,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
6.5,17,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
7.5,16,11,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0
3.5,13,6,7,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
4.2,13,11,3,0,1,1,2,1,1,0,0,0,0,0,1,0,0,0,1,0
3.5,12,7,2,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0
4.5,14,5,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0
3.3,14,5,4,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
2.9,11,2,2,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1
5.3,10,44,7,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4.1,8,44,25,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
3.8,14,13,0,0,1,1,3,1,1,0,0,0,0,0,1,0,0,0,1,0
3.4,12,26,15,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
3,10,2,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0
6.3,17,10,3,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0
2.5,9,2,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1
4.5,12,35,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
3.1,12,6,5,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0
6.4,14,8,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
4.7,16,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
6.8,12,14,10,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0
8.5,10,14,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4.2,0,22,10,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3.8,14,8,4,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
11,15,1,4,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0
3.3,16,15,5,1,1,1,2,1,0,1,0,0,0,0,1,0,0,1,0,0
9.1,12,14,12,0,0,1,3,1,0,1,0,0,1,0,0,0,0,1,0,0
4.5,11,37,10,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0
3,11,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
8.8,12,4,4,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
4.1,13,29,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
2.9,12,45,8,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
3.3,13,22,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0
6.1,16,42,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
3,15,9,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4.2,16,8,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0
5.6,15,31,15,0,1,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1
10,12,24,24,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
13,18,16,5,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0
3.8,6,6,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
3.1,6,14,0,1,1,0,5,1,0,1,0,0,0,0,1,0,0,0,1,0
4.3,12,47,25,0,1,1,2,1,0,1,0,0,1,0,0,0,0,0,1,0
11,12,34,5,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
7.5,16,6,2,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0
4.1,9,7,4,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
4.7,12,27,2,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1
5,11,24,5,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2.9,10,18,0,0,1,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0
8,12,12,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8.4,8,27,3,0,0,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0
2.9,9,49,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
6.3,17,4,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
6.3,16,24,2,0,1,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0
5.1,11,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
4,10,2,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
4.4,8,29,11,0,0,1,3,0,0,1,0,0,0,0,1,0,0,1,0,0
6.9,13,34,21,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
5.4,14,10,3,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0
3,13,5,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
2.9,11,2,0,0,1,0,2,1,0,1,0,0,0,0,1,0,0,1,0,0
6.3,7,39,21,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
4.3,16,5,2,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
3.3,12,14,2,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,1,0
7.3,13,8,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
6.3,14,10,1,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0
5.6,16,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
8.8,14,9,3,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0
3.2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,8,45,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14,33,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
13,17,21,18,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0
2.9,10,2,0,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0
3.3,12,9,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
6.5,12,33,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,18,16,2,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0
4.5,14,10,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
10,18,9,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
3.8,12,8,1,0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,1
8.8,16,9,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
9.4,14,23,0,0,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0
6.3,12,23,8,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0
4,9,22,18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.9,12,37,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
20,12,22,4,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0
11,17,28,25,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
3.5,12,14,0,1,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0
6,15,19,4,0,1,1,2,1,0,1,0,0,0,0,0,0,1,0,0,1
14,17,10,9,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6.4,16,25,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0
3.5,12,21,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
3,15,32,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
4.5,16,21,10,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0
6.6,12,36,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
9.3,15,2,2,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
3,12,11,0,0,1,1,2,1,0,1,0,0,0,0,1,0,0,1,0,0
3.3,12,40,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1.5,12,11,1,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,1
5.9,12,9,7,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
8,16,23,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
2.9,11,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0
3.3,14,30,13,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
6.5,14,41,33,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
4,13,6,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0
6,14,11,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4.1,12,43,17,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
3.8,12,39,2,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0
3,8,50,24,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3.5,12,26,20,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2.9,3,51,30,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
4.5,11,3,9,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
3.3,15,3,1,0,1,1,2,1,0,1,0,0,0,0,0,1,0,0,1,0
5.9,11,15,9,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
8,12,17,6,0,0,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0
3,4,36,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
5,9,31,9,1,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0
5.5,12,9,4,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
2.7,12,42,10,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
3,11,3,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0
4.5,12,37,14,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
18,16,23,22,0,0,1,3,1,0,0,1,0,0,0,1,0,0,1,0,0
8.2,13,21,5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
9.1,15,11,12,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0
12,16,35,13,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
3.3,12,42,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
4.5,12,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4.5,12,13,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3.7,9,14,7,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0
6.5,10,14,11,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0
2.9,12,39,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
5.6,11,11,8,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0
2.2,8,28,3,0,0,1,4,0,0,1,0,0,0,0,0,0,1,1,0,0
5,6,18,0,0,1,1,3,1,0,0,1,0,0,0,1,0,0,0,0,1
8.3,16,6,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
2.9,12,26,1,0,1,0,4,1,0,1,0,0,0,0,1,0,0,0,1,0
6.3,12,21,6,0,0,1,3,1,0,1,0,0,0,0,1,0,0,1,0,0
4.6,16,34,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
3.3,12,17,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2.3,10,2,0,0,1,0,4,1,1,0,0,0,0,0,1,0,0,0,0,1
3.3,13,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
3.2,13,1,0,0,1,0,4,1,1,0,0,0,0,1,0,0,0,0,1,0
13,14,40,30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
5.2,16,39,21,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
3.1,10,1,1,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1
7.3,12,14,5,0,0,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0
2.9,12,2,2,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
1.8,11,2,1,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1
2.9,0,42,0,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0
2.9,5,34,0,0,1,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0
18,16,10,3,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0
6.3,16,4,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
2.6,9,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
6.6,15,21,3,0,1,1,2,0,0,0,1,0,0,0,0,0,1,1,0,0
3.5,12,31,3,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
6.5,12,20,14,0,0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0
3,12,36,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
4.4,13,7,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
10,12,15,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
4.9,7,25,17,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0
9,17,7,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0
1.4,12,17,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0
3.1,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9.3,14,12,11,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0
7.5,12,18,5,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0
4.8,13,47,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5.7,12,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
15,16,14,2,0,1,1,2,0,0,0,1,0,0,0,0,0,1,1,0,0
2.3,10,2,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0
4.7,15,13,18,0,0,1,3,0,0,0,1,1,0,0,0,0,0,1,0,0
12,16,5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3.5,14,5,4,1,1,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0
